PeakID,Interval_15297,Interval_15296,Interval_15295,Interval_15289,Interval_15299,Interval_15293,Interval_15288,Interval_15291,Interval_15287,Interval_15290,Interval_15298,Interval_15286,Interval_15294
Interval_15297,1.0,0.7323939440547906,0.8378890938105577,0.7472032597034861,0.7625423965499133,0.6755631485070386,0.6548543736566136,0.571268888236782,0.5216527311448333,0.5195148716700154,0.2444354785538928,0.5936208867499618,0.5735332389388882
Interval_15296,0.7323939440547906,1.0,0.6288032039949123,0.610647102684231,0.48011720878658204,0.5515147760281556,0.38577091499503613,0.36865532564105047,0.30960806254883666,0.4404572230959486,0.5005010995802701,0.461197173189735,0.17879567043868244
Interval_15295,0.8378890938105577,0.6288032039949123,1.0,0.7381000265964133,0.825831157967448,0.7276703641600158,0.6035259693575751,0.7550579591157786,0.5166899281147983,0.6815681816001737,0.2163965725926827,0.5999209096847129,0.23799132707883136
Interval_15289,0.7472032597034861,0.610647102684231,0.7381000265964133,1.0,0.7376575519643334,0.8203485962206422,0.30217046439527256,0.7471590339263624,0.3985640959260736,0.8281674049906826,0.46803681089850535,0.81061209493876,0.4057432242779889
Interval_15299,0.7625423965499133,0.48011720878658204,0.825831157967448,0.7376575519643334,1.0,0.6975885867402006,0.5033104741753657,0.8794995421634052,0.5563019884534843,0.6795051086977809,0.29761074644763785,0.5987166959787771,0.32093564921429557
Interval_15293,0.6755631485070386,0.5515147760281556,0.7276703641600158,0.8203485962206422,0.6975885867402006,1.0,0.4989562584834075,0.6908022269157927,0.18619002146441885,0.6948556532769539,0.1444285045282586,0.8904498939170495,0.2617547048684758
Interval_15288,0.6548543736566136,0.38577091499503613,0.6035259693575751,0.30217046439527256,0.5033104741753657,0.4989562584834075,1.0,0.22935148008334358,0.09610023977648037,0.11016908149957812,0.08695340974396863,0.2638780482192281,0.2624382095265169
Interval_15291,0.571268888236782,0.36865532564105047,0.7550579591157786,0.7471590339263624,0.8794995421634052,0.6908022269157927,0.22935148008334358,1.0,0.4845673999970715,0.8185806869274282,0.2652077465322129,0.6789147949212643,0.14518962425582074
Interval_15287,0.5216527311448333,0.30960806254883666,0.5166899281147983,0.3985640959260736,0.5563019884534843,0.18619002146441885,0.09610023977648037,0.4845673999970715,1.0,0.5011817902621547,0.021086895783149755,0.28313597592249046,0.20343443721644694
Interval_15290,0.5195148716700154,0.4404572230959486,0.6815681816001737,0.8281674049906826,0.6795051086977809,0.6948556532769539,0.11016908149957812,0.8185806869274282,0.5011817902621547,1.0,0.3244165815231008,0.7670356966556007,0.2265101055462887
Interval_15298,0.2444354785538928,0.5005010995802701,0.2163965725926827,0.46803681089850535,0.29761074644763785,0.1444285045282586,0.08695340974396863,0.2652077465322129,0.021086895783149755,0.3244165815231008,1.0,0.20723100281140772,-0.11732445539177559
Interval_15286,0.5936208867499618,0.461197173189735,0.5999209096847129,0.81061209493876,0.5987166959787771,0.8904498939170495,0.2638780482192281,0.6789147949212643,0.28313597592249046,0.7670356966556007,0.20723100281140772,1.0,0.20070009697793986
Interval_15294,0.5735332389388882,0.17879567043868244,0.23799132707883136,0.4057432242779889,0.32093564921429557,0.2617547048684758,0.2624382095265169,0.14518962425582074,0.20343443721644694,0.2265101055462887,-0.11732445539177559,0.20070009697793986,1.0
