Clone_ID,Eigenpeak 0,Eigenpeak 1,Eigenpeak 2,Eigenpeak 3,Eigenpeak 4,Eigenpeak 5,Eigenpeak 6,Eigenpeak 7
P1_A03,-0.07904473239500441,-0.3757804021455576,-0.1969823032928281,0.892420767127206,-0.8748652585173163,-0.2913338085063897,0.5023532547379642,-1.4308807308347824
P1_A05,0.20777100250948713,0.1104815365606977,0.0260645952037235,0.03511786412750561,0.33737729391357346,1.5706012840485006,1.713284125521705,0.5003773721201393
P1_A08,-0.17604179171086495,-0.12191786475011399,0.43594851973048815,-1.279977929451766,-0.7793170439450464,-0.4090812635286775,0.22827037039458947,-3.189369944950161
P1_A12,-0.27456268117501786,-0.3088640679615173,-0.34077037145148914,-0.8024094457779776,0.8654679729722841,0.6957644391938469,1.0524698935784307,0.12077305247120457
P1_B10,-0.25052822705122874,0.3508258384578171,0.3236931856235113,0.8650308211095414,-0.41484280588414274,-0.41681326697306287,0.6999457832177186,0.6249840218805442
P1_C11,-0.08935197613503426,0.04897518999247341,-0.08003817497357914,0.39792605108392387,0.6197915787226556,0.6175113072498539,-2.5399544940136067,-2.8502986180802465
P1_D09,-0.1676270868694773,0.21135236263648208,-0.11831635579826044,-0.22701839242516322,-1.3472867284760799,0.21962359252935412,-1.4307819150889527,4.978577070930644
P1_F10,-0.025317322049209074,0.36305924826653524,-0.09912258705817803,0.5982999507031269,0.8290745727490936,-0.7633601883950182,0.9921858693174157,-1.8097055713062475
P1_H01,0.0194804391175817,-0.09155738703079049,0.026509758558381558,0.2555500048776994,0.5341852684057494,1.3829798525431316,-1.5465336854846807,-0.7165322232406951
P1_H10,0.41729839281697306,-0.4543790232642218,0.19501016650173272,0.14763603076707846,-0.07766294825148848,-0.4970770063998804,-0.2566654084751067,1.8623680608269324
P2_A04,-0.09636156552863011,-0.3988833808143393,0.23251382214799157,-0.08142237692233024,1.2822345914896862,-0.7406710027225415,-0.1529647215297221,3.270586566854099
P2_B11,0.2898502009486548,0.31230441463414726,-0.5398578858012814,-0.7087618907322807,-0.3351893768889287,-0.7411325899209761,-0.6673709811592736,-1.5644792827495069
P2_G01,0.12389223479871816,0.18837221203297164,0.8594908481194146,-0.1354063518903383,0.17018789573423204,-0.5389537321017952,-0.27853783082159167,-0.7218589259944064
P2_G09,0.04504316128251704,-0.36953368477805093,-0.16351756598819717,0.3516223209284783,-1.2824650210477577,0.4312015956504328,0.7478195558736866,-1.4069183261295812
P2_H04,-0.022272811591412253,0.07939899739512479,-0.55242920858252,-0.02906555247642023,0.49611952444672996,-1.4949968091124575,0.09495748376657277,0.7788474001692537
P2_H05,0.07777453461370101,0.4561475453724242,-0.008188721198321947,-0.279540646823243,-0.022799892925194003,0.9757426503436252,0.8415316828992884,1.5535327795487395
