PeakID,KLRD1_Rsq
Eigenpeak 0,0.015142334604969259
Eigenpeak 1,0.03201868464012145
Eigenpeak 2,0.0013189210721127114
Eigenpeak 3,0.0105451727271321
Eigenpeak 4,0.06386529242638979
Eigenpeak 5,0.05657374100503774
Eigenpeak 6,0.005539152020863861
Eigenpeak 7,0.6928203299462731
