PeakID,CD28_Rsq
Eigenpeak 0,0.01837844234239798
Eigenpeak 1,0.18266875801880267
Eigenpeak 2,0.06055091668216016
Eigenpeak 3,0.14665243311853815
Eigenpeak 4,0.4638775342757711
