PeakID,CTLA4_Rsq
Eigenpeak 0,0.033373276203083786
Eigenpeak 1,0.059289798023218994
Eigenpeak 2,0.03105279463009629
Eigenpeak 3,0.0012439959146577908
Eigenpeak 4,0.021953904325522963
Eigenpeak 5,0.09730894435307942
Eigenpeak 6,0.5136565411581988
