PeakID,Eigenpeak 0,Eigenpeak 1,Eigenpeak 2,Eigenpeak 3,Eigenpeak 4,Eigenpeak 5,Eigenpeak 6,Eigenpeak 7,Eigenpeak 8,Eigenpeak 9,Eigenpeak 10,Eigenpeak 11,Eigenpeak 12
Interval_58745,-0.2338404407649509,0.30168139611668277,-0.4308621993922015,-0.0907477713749559,0.21791449791560097,-0.3046885154921346,0.2762191467995763,-0.0942865056052291,0.1843519016011695,-0.17657019525963602,0.32080905408008586,0.5037198384562152,-0.11448155415038477
Interval_58734,0.5627812876817356,-0.1087941514348916,-0.29674264343374523,-0.2550045104725035,-0.11720329340902226,-0.20141498845103592,0.12233694426515213,0.46163415252833645,-0.2010618737695597,0.04285030794565309,0.13979527642981704,0.06800539330211897,0.4117657719858593
Interval_58732,0.10235096554636783,0.5404356105109704,-0.12337220407730987,0.5209371305467292,-0.20320778630697056,-0.15484151663028992,0.12913513111581143,-0.30042118698213505,-0.11696728155618528,0.0566845172782177,-0.13842860730721113,-0.17559769377940698,0.4144488579096806
Interval_58727,0.12274990802026561,-0.30242048243385383,0.158900941727044,0.26412562750963975,-0.3077999515792182,-0.25218284549548126,-0.5040847618395913,-0.19662996246712047,0.11003297466764438,-0.32676469825701887,0.15174271507155623,0.4257393331149171,0.1555583929066205
Interval_58739,-0.41234422813133653,-0.5104442456432703,-0.17790832956948624,0.1832697076298524,0.0160134751717467,0.1988385856688626,0.24173284393135996,-0.1691733709225629,-0.2789314045891285,0.09607750945107456,0.3828930787955633,-0.07961373816950221,0.3706117442363897
Interval_58728,-0.19904073474090275,0.05270510669302704,-0.274399684095825,-0.0013831194284392584,0.5501053350696227,0.0619059444556985,-0.46912606045348204,0.14104972800795376,-0.2090649336512143,-0.2888110691450476,-0.34258851090073444,-0.013707694944058907,0.30201088912015495
Interval_58752,-0.1775288084349008,0.20122721594177348,-0.2632100420316984,0.08234567631964598,-0.2408862850211398,0.22144651382181657,-0.34394381578661043,0.3531716755243911,0.46433065231148685,-0.01958120142672336,0.4059771255369015,-0.3441580287048973,0.05089104236392161
Interval_58754,0.07157921025750047,-0.3081581625797166,-0.19337534340256818,-0.1616648957342191,0.19072094866916678,-0.36270585833095215,-0.03163391693868749,-0.3355882954895909,0.565625594182527,0.3023475090769575,-0.20245679631746252,-0.25103989115264347,0.1986933881179657
Interval_58760,-0.32606987871253834,-0.07932118046633066,0.3618108909535145,0.12659374802373985,-0.053708270425715805,-0.19333826839153076,0.3892485729449006,0.4572025654731897,0.31191991539769176,-0.2862438912143745,-0.2698389162240489,0.031095158052622876,0.2943315077940897
Interval_58740,-0.2938004912616574,0.2272172840988444,0.09136311885676265,-0.6065745609840246,-0.37506236121730435,0.20422655920634433,-0.11240514885252852,-0.19226096587787297,-0.0046952883149537755,0.15029596316027335,-0.14895823831546928,0.24484898400926644,0.38606177852500473
Interval_58758,-0.2382788545898615,-0.18981795104646385,-0.47071436344356365,0.20525400392741402,-0.4038676005460929,-0.0962210667159335,-0.05294697609593033,0.22281920703362493,-0.10307894750767996,0.285498392085308,-0.45610483746065733,0.18731566648101858,-0.28882246816533597
Interval_58726,0.16670106769603804,-0.14051365286917594,-0.3301381251817333,-0.14963311150548972,-0.2515359488279961,0.2820792810720428,0.24505035123946237,-0.2588002384086421,0.09429897305296164,-0.6684515794400753,-0.21361176154056694,-0.2044016799305618,-0.08994044374744954
Interval_58748,0.28206598469365,-0.03382135004374705,-0.04892560380159075,0.26573615411803925,0.1885039149061648,0.6222107463382147,0.11465085391322384,0.024472707060430976,0.3548522387026121,0.19924122518304457,-0.13002737131192987,0.4514154379674694,0.15349793389250738
