,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1140,In_Vivo,1.0,142,136.0,,P1902,,,,,,,,,,,,,,,,,1684,7.429520842786462,8325.943,9.027252,177.99962,5.1873837,2.1378913,8325.943
P1902_1141,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1673,7.422971251049421,8296.428,9.023701,186.84094,5.2355957,2.252065,8296.428
P1902_1142,In_Vivo,1.0,104,136.0,,P1902,,,,,,,,,,,,,,,,,1697,7.437206366871292,8548.497,9.053628,164.45491,5.108699,1.9237874,8548.497
P1902_1143,In_Vivo,1.0,109,136.0,,P1902,,,,,,,,,,,,,,,,,1679,7.426549072397305,8346.457,9.029713,150.25806,5.018987,1.8002616,8346.457
P1902_1144,In_Vivo,1.0,240,136.0,,P1902,,,,,,,,,,,,,,,,,1385,7.234177179749849,7016.9863,8.856232,169.65352,5.139635,2.4177547,7016.9863
P1902_1145,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1677,7.425357887027151,8528.707,9.051311,171.1161,5.148169,2.0063546,8528.707
P1902_1146,In_Vivo,1.0,222,136.0,,P1902,,,,,,,,,,,,,,,,,1590,7.372118028337787,7839.3555,8.967039,165.87276,5.1172314,2.115898,7839.3555
P1902_1147,In_Vivo,1.0,153,136.0,,P1902,,,,,,,,,,,,,,,,,1889,7.5443321080536885,9422.614,9.150974,173.07175,5.1594677,1.83677,9422.614
P1902_1148,In_Vivo,1.0,241,136.0,,P1902,,,,,,,,,,,,,,,,,1682,7.428333194190806,8406.282,9.036854,169.88835,5.1410103,2.020969,8406.282
P1902_1149,In_Vivo,1.0,109,136.0,,P1902,,,,,,,,,,,,,,,,,1813,7.503289630675082,8902.202,9.094167,167.92531,5.1294565,1.8863344,8902.202
P1902_1150,In_Vivo,1.0,92,136.0,,P1902,,,,,,,,,,,,,,,,,1785,7.487733761436444,8957.043,9.100307,165.77048,5.1166186,1.8507278,8957.043
P1902_1151,In_Vivo,1.0,242,136.0,,P1902,,,,,,,,,,,,,,,,,1844,7.520234556474628,9071.609,9.113015,173.2676,5.160592,1.9099984,9071.609
P1902_1152,In_Vivo,1.0,118,136.0,,P1902,,,,,,,,,,,,,,,,,1684,7.429520842786462,8281.274,9.0218725,160.1868,5.082564,1.9343255,8281.274
P1902_1154,In_Vivo,1.0,243,136.0,,P1902,,,,,,,,,,,,,,,,,1626,7.394493107219038,8179.7144,9.009535,179.00946,5.1930094,2.188456,8179.7144
P1902_1155,In_Vivo,1.0,244,136.0,,P1902,,,,,,,,,,,,,,,,,1620,7.390798521735676,8422.375,9.038766,171.49348,5.1503596,2.0361655,8422.375
P1902_1156,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1810,7.501634457883413,8964.17,9.101102,174.16408,5.1657233,1.9428912,8964.17
P1902_1157,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1851,7.524021415206125,9155.396,9.122208,185.94205,5.2307987,2.0309556,9155.396
P1902_1158,In_Vivo,1.0,235,136.0,,P1902,,,,,,,,,,,,,,,,,1468,7.292337176173877,7566.512,8.93162,173.77095,5.1634765,2.2965794,7566.512
P1902_1159,In_Vivo,1.0,247,136.0,,P1902,,,,,,,,,,,,,,,,,1940,7.57095858316901,9496.743,9.15881,179.13298,5.1936955,1.8862569,9496.743
P1902_1160,In_Vivo,1.0,174,136.0,,P1902,,,,,,,,,,,,,,,,,1886,7.54274354536855,9283.115,9.13606,155.85196,5.0553026,1.6788757,9283.115
