,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1267,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1846,7.52131798019924,9202.047,9.12729,167.29509,5.125719,1.8180205,9202.047
P1902_1268,In_Vivo,1.0,364,136.0,,P1902,,,,,,,,,,,,,,,,,1686,7.430707082545968,8624.339,9.06246,158.62386,5.07282,1.8392582,8624.339
P1902_1269,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1723,7.452402451223638,8817.606,9.0846195,170.39845,5.143991,1.9324796,8817.606
P1902_1270,In_Vivo,1.0,142,136.0,,P1902,,,,,,,,,,,,,,,,,1887,7.543273346705446,9375.406,9.145952,170.15773,5.1425858,1.8149372,9375.406
P1902_1273,In_Vivo,1.0,248,136.0,,P1902,,,,,,,,,,,,,,,,,1595,7.3752557780097545,8032.0,8.991313,176.76662,5.1804714,2.2007794,8032.0
P1902_1274,In_Vivo,1.0,160,136.0,,P1902,,,,,,,,,,,,,,,,,1517,7.325148957955575,7813.994,8.963799,163.44537,5.1025786,2.0917008,7813.994
P1902_1275,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1806,7.499423290592229,9033.148,9.108767,163.28418,5.101598,1.8076109,9033.148
P1902_1276,In_Vivo,1.0,192,136.0,,P1902,,,,,,,,,,,,,,,,,1737,7.460490305825338,8788.17,9.081276,163.09105,5.1004214,1.8558022,8788.17
P1902_1277,In_Vivo,1.0,153,136.0,,P1902,,,,,,,,,,,,,,,,,1593,7.374001859350161,8058.424,8.994597,178.6449,5.1909823,2.2168715,8058.424
P1902_1278,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1671,7.421775793644647,8343.998,9.029418,174.10628,5.165393,2.0866048,8343.998
P1902_1281,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1480,7.300472814267799,7682.096,8.946778,174.1461,5.1656203,2.2669086,7682.096
P1902_1282,In_Vivo,1.0,321,136.0,,P1902,,,,,,,,,,,,,,,,,1387,7.23561914106675,7225.1953,8.885468,162.24918,5.095278,2.2456026,7225.1953
P1902_1283,In_Vivo,1.0,224,136.0,,P1902,,,,,,,,,,,,,,,,,1903,7.55171221535131,9356.328,9.143915,163.54329,5.1031737,1.747943,9356.328
P1902_1284,In_Vivo,1.0,98,136.0,,P1902,,,,,,,,,,,,,,,,,1852,7.52456122628536,9203.307,9.127427,160.78975,5.0862975,1.7470866,9203.307
P1902_1285,In_Vivo,1.0,122,136.0,,P1902,,,,,,,,,,,,,,,,,1726,7.454141078146678,8852.973,9.088621,159.73228,5.07974,1.8042786,8852.973
P1902_1286,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1648,7.407924322559599,8350.359,9.03018,163.16937,5.1008987,1.9540402,8350.359
