,Donor,Timepoint,clone_id,DonorDay,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_YFV2003_D15_p7_D20,YFV2003,15,D1740,YFV2003_D15,3346,8.115819701211327,17178.115,9.75145,133.86316,4.9042606,0.7792657,17178.115,3346,0
P20407_YFV2003_D15_p5_H20,YFV2003,15,D0,YFV2003_D15,2288,7.735870319952567,13222.027,9.489715,134.78143,4.9110465,1.0193703,13222.027,2288,1
P20407_YFV2003_D15_p7_B20,YFV2003,15,D905,YFV2003_D15,3920,8.27410200229233,19504.97,9.878476,134.29947,4.9074907,0.68853974,19504.97,3920,0
P20407_YFV2003_D15_p5_O20,YFV2003,15,D515,YFV2003_D15,5114,8.539932678385727,23540.469,10.066519,131.5489,4.8869514,0.55882025,23540.469,5114,0
P20407_YFV2003_D15_p7_C20,YFV2003,15,D374,YFV2003_D15,6010,8.701346403039162,26390.672,10.180804,141.5237,4.9595084,0.5362641,26390.672,6010,0
P20407_YFV2003_D15_p7_F20,YFV2003,15,D1084,YFV2003_D15,3954,8.282735880201754,19770.793,9.892012,136.69415,4.925035,0.6913944,19770.793,3954,0
P20407_YFV2003_D15_p5_A20,YFV2003,15,D571,YFV2003_D15,6510,8.781248333236862,27985.873,10.2394905,164.1538,5.1068773,0.5865595,27985.873,6510,0
P20407_YFV2003_D15_p7_O20,YFV2003,15,D0,YFV2003_D15,3833,8.251663923605589,19335.992,9.869775,126.04111,4.8445106,0.6518471,19335.992,3833,1
P20407_YFV2003_D15_p5_J20,YFV2003,15,D49,YFV2003_D15,2822,7.945555428253489,15218.121,9.630308,136.9992,4.927248,0.9002374,15218.121,2822,0
P20407_YFV2003_D15_p5_N20,YFV2003,15,D1696,YFV2003_D15,3283,8.096817470572319,17225.443,9.754201,145.61218,4.987791,0.84533197,17225.443,3283,0
P20407_YFV2003_D15_p7_L20,YFV2003,15,D77,YFV2003_D15,4645,8.443761913330354,21983.064,9.998074,130.06976,4.8757296,0.59168166,21983.064,4645,0
P20407_YFV2003_D15_p7_G20,YFV2003,15,D1448,YFV2003_D15,3898,8.268475388982598,19453.443,9.875831,121.08552,4.804722,0.6224375,19453.443,3898,0
P20407_YFV2003_D15_p5_K20,YFV2003,15,D128,YFV2003_D15,4454,8.40178233990491,21136.43,9.9588,135.67218,4.9175854,0.64188784,21136.43,4454,0
P20407_YFV2003_D15_p5_L20,YFV2003,15,D947,YFV2003_D15,3720,8.221747728346623,18677.361,9.835121,121.00289,4.8040447,0.64785856,18677.361,3720,0
P20407_YFV2003_D15_p5_D20,YFV2003,15,D1708,YFV2003_D15,3109,8.04237800517328,16418.154,9.706203,135.97128,4.919771,0.82817644,16418.154,3109,0
P20407_YFV2003_D15_p7_I20,YFV2003,15,D1308,YFV2003_D15,4104,8.31996102188653,19957.967,9.901434,125.5242,4.8404336,0.6289428,19957.967,4104,0
P20407_YFV2003_D15_p5_F20,YFV2003,15,D698,YFV2003_D15,2443,7.8013913202914855,13631.06,9.52018,135.36069,4.9153037,0.99303126,13631.06,2443,0
P20407_YFV2003_D15_p8_O14,YFV2003,15,D741,YFV2003_D15,4756,8.467372496432281,22450.613,10.019117,135.06651,4.9131436,0.60161614,22450.613,4756,0
P20407_YFV2003_D15_p4_I14,YFV2003,15,D1807,YFV2003_D15,2040,7.621195162809845,11856.599,9.380724,133.91023,4.9046097,1.1294153,11856.599,2040,0
P20407_YFV2003_D15_p8_E14,YFV2003,15,D761,YFV2003_D15,2189,7.691656822810547,11878.011,9.382528,125.220604,4.8380313,1.054222,11878.011,2189,0
P20407_YFV2003_D15_p4_C14,YFV2003,15,D509,YFV2003_D15,2832,7.949091499830517,15397.64,9.642035,145.20634,4.9850187,0.9430429,15397.64,2832,0
P20407_YFV2003_D15_p8_L14,YFV2003,15,D10,YFV2003_D15,3261,8.09009578318096,16847.791,9.732034,134.19963,4.9067526,0.7965414,16847.791,3261,0
P20407_YFV2003_D15_p8_N14,YFV2003,15,D257,YFV2003_D15,3869,8.261009786023827,19250.71,9.8653555,134.14618,4.906357,0.69683754,19250.71,3869,0
P20407_YFV2003_D15_p8_C14,YFV2003,15,D640,YFV2003_D15,3183,8.065893546964274,16723.35,9.724621,132.97525,4.897655,0.7951472,16723.35,3183,0
P20407_YFV2003_D15_p4_P14,YFV2003,15,D1501,YFV2003_D15,4100,8.31898612539206,20082.205,9.9076395,123.75014,4.826313,0.61621785,20082.205,4100,0
P20407_YFV2003_D15_p4_L14,YFV2003,15,D1866,YFV2003_D15,1816,7.504942068396171,10710.045,9.279031,121.49489,4.808069,1.1344013,10710.045,1816,0
P20407_YFV2003_D15_p8_A14,YFV2003,15,D29,YFV2003_D15,4958,8.508959386489133,22881.688,10.038136,128.89815,4.8667507,0.56332445,22881.688,4958,0
P20407_YFV2003_D15_p4_M14,YFV2003,15,D565,YFV2003_D15,4586,8.430981494597171,21752.07,9.98751,138.91577,4.9410405,0.6386324,21752.07,4586,0
P20407_YFV2003_D15_p4_J14,YFV2003,15,D177,YFV2003_D15,5053,8.52793528794814,23200.871,10.051989,134.29584,4.9074636,0.5788396,23200.871,5053,0
P20407_YFV2003_D15_p4_N14,YFV2003,15,D599,YFV2003_D15,3464,8.150467911624004,17667.906,9.779562,133.12064,4.89874,0.75346017,17667.906,3464,0
P20407_YFV2003_D15_p4_F14,YFV2003,15,D245,YFV2003_D15,3283,8.096817470572319,16707.041,9.723645,151.83636,5.029368,0.9088166,16707.041,3283,0
P20407_YFV2003_D15_p4_E14,YFV2003,15,D1475,YFV2003_D15,5598,8.630343289348893,24509.941,10.106874,132.77081,4.896128,0.54170185,24509.941,5598,0
P20407_YFV2003_D15_p4_B14,YFV2003,15,D19,YFV2003_D15,3120,8.045908742270779,16078.995,9.685331,142.20683,4.96429,0.8844261,16078.995,3120,0
P20407_YFV2003_D15_p8_F14,YFV2003,15,D98,YFV2003_D15,5226,8.561592778712923,23569.496,10.067751,150.0321,5.0174923,0.63655204,23569.496,5226,0
P20407_YFV2003_D15_p4_A14,YFV2003,15,D81,YFV2003_D15,3259,8.089482474360754,17184.207,9.751804,131.27695,4.8848977,0.7639395,17184.207,3259,0
P20407_YFV2003_D15_p4_O14,YFV2003,15,D191,YFV2003_D15,4505,8.41316512099219,21520.627,9.976813,130.31631,4.8776093,0.6055414,21520.627,4505,0
P20407_YFV2003_D15_p8_I14,YFV2003,15,D557,YFV2003_D15,5965,8.693831965074693,26002.0,10.165967,152.32794,5.032579,0.58583164,26002.0,5965,0
P20407_YFV2003_D15_p4_H14,YFV2003,15,D0,YFV2003_D15,2606,7.865955413933502,14558.434,9.585995,177.74443,5.185957,1.2209035,14558.434,2606,1
P20407_YFV2003_D15_p8_G14,YFV2003,15,D236,YFV2003_D15,3316,8.106816038947052,17166.355,9.750765,152.1003,5.031093,0.88603723,17166.355,3316,0
P20407_YFV2003_D15_p4_G14,YFV2003,15,D535,YFV2003_D15,3397,8.130942302231878,17558.508,9.773351,147.22617,4.9987392,0.83848906,17558.508,3397,0
P20407_YFV2003_D15_p8_K14,YFV2003,15,D413,YFV2003_D15,2929,7.982757702011113,15518.133,9.649829,137.10997,4.92805,0.8835468,15518.133,2929,0
P20407_YFV2003_D15_p8_M14,YFV2003,15,D1853,YFV2003_D15,3391,8.129174996911793,17436.336,9.766369,133.45428,4.901224,0.7653803,17436.336,3391,0
P20407_YFV2003_D15_p4_D14,YFV2003,15,D1058,YFV2003_D15,4165,8.334711621820917,19967.771,9.901925,144.82726,4.982423,0.725305,19967.771,4165,0
P20407_YFV2003_D15_p8_P14,YFV2003,15,D555,YFV2003_D15,3772,8.235625719964311,18780.342,9.840619,123.11344,4.821196,0.6555442,18780.342,3772,0
P20407_YFV2003_D15_p8_B14,YFV2003,15,D312,YFV2003_D15,3732,8.224967478914584,19019.947,9.853296,150.81815,5.0226836,0.79294723,19019.947,3732,0
P20407_YFV2003_D15_p8_D14,YFV2003,15,D1169,YFV2003_D15,2710,7.905072849498666,14817.285,9.603617,126.86578,4.850981,0.85620123,14817.285,2710,0
P20407_YFV2003_D15_p8_J14,YFV2003,15,D378,YFV2003_D15,4635,8.441607204459642,21979.504,9.997911,139.7273,4.946824,0.6357163,21979.504,4635,0
P20407_YFV2003_D15_p3_O10,YFV2003,15,D328,YFV2003_D15,3402,8.132412674500905,17506.574,9.770389,134.81865,4.9113207,0.770103,17506.574,3402,0
P20407_YFV2003_D15_p3_E10,YFV2003,15,D10,YFV2003_D15,3127,8.048149101665201,16404.371,9.705364,152.96996,5.0367575,0.9324951,16404.371,3127,0
P20407_YFV2003_D15_p3_L10,YFV2003,15,D24,YFV2003_D15,3844,8.254528881939745,18894.072,9.846657,141.4464,4.958966,0.74862844,18894.072,3844,0
P20407_YFV2003_D15_p3_N10,YFV2003,15,D1237,YFV2003_D15,3198,8.070593539949519,16625.004,9.718723,122.47025,4.8160005,0.73666304,16625.004,3198,0
P20407_YFV2003_D15_p3_C10,YFV2003,15,D1176,YFV2003_D15,4752,8.46653127661401,22324.666,10.013493,145.17906,4.9848323,0.65030783,22324.666,4752,0
P20407_YFV2003_D15_p3_H10,YFV2003,15,D460,YFV2003_D15,3335,8.112527763478637,17162.572,9.750545,127.85344,4.8586755,0.744955,17162.572,3335,0
P20407_YFV2003_D15_p3_A10,YFV2003,15,D19,YFV2003_D15,2748,7.918992488165245,14968.441,9.613766,135.4722,4.916121,0.9050521,14968.441,2748,0
P20407_YFV2003_D15_p3_I10,YFV2003,15,D565,YFV2003_D15,3869,8.261009786023827,18902.172,9.847085,124.52137,4.832476,0.6587675,18902.172,3869,0
P20407_YFV2003_D15_p3_G10,YFV2003,15,D570,YFV2003_D15,2860,7.95892649305011,15272.583,9.63388,133.78801,4.903703,0.8760012,15272.583,2860,0
P20407_YFV2003_D15_p3_K10,YFV2003,15,D17,YFV2003_D15,2956,7.9919305198524775,15749.252,9.664612,119.423294,4.791013,0.75827914,15749.252,2956,0
P20407_YFV2003_D15_p3_M10,YFV2003,15,D106,YFV2003_D15,3817,8.247482004285693,18836.922,9.843627,137.17044,4.928488,0.72819984,18836.922,3817,0
P20407_YFV2003_D15_p3_P10,YFV2003,15,D413,YFV2003_D15,2708,7.904334842085095,15216.63,9.63021,146.52158,4.993974,0.9629043,15216.63,2708,0
P20407_YFV2003_D15_p3_B10,YFV2003,15,D29,YFV2003_D15,6909,8.840724916761715,27823.914,10.233687,147.68686,5.0018425,0.5307911,27823.914,6909,0
P20407_YFV2003_D15_p3_D10,YFV2003,15,D822,YFV2003_D15,4238,8.352082671352637,20451.73,9.925872,139.02881,4.9418483,0.67978996,20451.73,4238,0
P20407_YFV2003_D15_p3_L9,YFV2003,15,D570,YFV2003_D15,3778,8.237214703349489,18711.47,9.836946,136.38683,4.9228005,0.72889423,18711.47,3778,0
P20407_YFV2003_D15_p3_N9,YFV2003,15,D1274,YFV2003_D15,1939,7.570443252057374,11615.356,9.360169,177.4198,5.1841393,1.5274589,11615.356,1939,0
P20407_YFV2003_D15_p3_C9,YFV2003,15,D39,YFV2003_D15,5222,8.560827228436299,23761.04,10.075845,154.74686,5.048232,0.651263,23761.04,5222,0
P20407_YFV2003_D15_p3_H9,YFV2003,15,D108,YFV2003_D15,3141,8.052614818815567,16343.204,9.701629,150.95357,5.023575,0.92364734,16343.204,3141,0
P20407_YFV2003_D15_p3_A9,YFV2003,15,D172,YFV2003_D15,5465,8.606302366488013,24217.908,10.094889,152.5614,5.0341005,0.62995285,24217.908,5465,0
P20407_YFV2003_D15_p3_F9,YFV2003,15,D644,YFV2003_D15,6202,8.732788324973118,26311.174,10.177787,137.30344,4.92945,0.52184457,26311.174,6202,0
P20407_YFV2003_D15_p3_I9,YFV2003,15,D737,YFV2003_D15,2740,7.916078096302786,14814.946,9.603459,120.74736,4.801948,0.8150374,14814.946,2740,0
P20407_YFV2003_D15_p3_K9,YFV2003,15,D316,YFV2003_D15,3184,8.066207568006265,16524.143,9.712638,153.79146,5.042079,0.93070763,16524.143,3184,0
P20407_YFV2003_D15_p3_M9,YFV2003,15,D132,YFV2003_D15,4465,8.404248432400102,21422.31,9.972235,126.578415,4.848731,0.59087193,21422.31,4465,0
P20407_YFV2003_D15_p3_P9,YFV2003,15,D1816,YFV2003_D15,2046,7.624130585661289,11505.807,9.350694,139.03113,4.941865,1.2083563,11505.807,2046,0
P20407_YFV2003_D15_p3_B9,YFV2003,15,D88,YFV2003_D15,4522,8.416930769477844,21138.957,9.9589205,138.79942,4.940209,0.6566049,21138.957,4522,0
P20407_YFV2003_D15_p3_D9,YFV2003,15,D136,YFV2003_D15,3245,8.085178748074537,16629.97,9.719022,128.12111,4.8607507,0.77042294,16629.97,3245,0
P20407_YFV2003_D15_p3_J9,YFV2003,15,D245,YFV2003_D15,3992,8.292298107063221,19666.498,9.886723,136.4097,4.922967,0.6936146,19666.498,3992,0
P20407_YFV2003_D15_p8_O22,YFV2003,15,D757,YFV2003_D15,3171,8.06211758275474,16398.414,9.705001,128.76225,4.865704,0.7852117,16398.414,3171,0
P20407_YFV2003_D15_p4_I22,YFV2003,15,D511,YFV2003_D15,4382,8.38548870041881,21136.936,9.958824,137.66734,4.932078,0.65131176,21136.936,4382,0
P20407_YFV2003_D15_p8_E22,YFV2003,15,D466,YFV2003_D15,3250,8.086717920303906,16724.072,9.724664,137.50949,4.9309387,0.8222249,16724.072,3250,0
P20407_YFV2003_D15_p4_C22,YFV2003,15,D497,YFV2003_D15,4400,8.38958706681109,21150.576,9.95947,140.48856,4.952219,0.6642304,21150.576,4400,0
P20407_YFV2003_D15_p8_L22,YFV2003,15,D56,YFV2003_D15,3730,8.224431573221159,19038.197,9.854255,141.0452,4.9561453,0.7408537,19038.197,3730,0
P20407_YFV2003_D15_p8_N22,YFV2003,15,D1178,YFV2003_D15,3124,8.047189562170502,16459.033,9.708691,129.55557,4.871799,0.7871396,16459.033,3124,0
P20407_YFV2003_D15_p8_C22,YFV2003,15,D600,YFV2003_D15,2415,7.789868559054706,13608.853,9.518549,155.98216,5.0561323,1.1461816,13608.853,2415,0
P20407_YFV2003_D15_p8_H22,YFV2003,15,D34,YFV2003_D15,3549,8.174702882469461,17942.87,9.795004,124.64851,4.8334885,0.69469666,17942.87,3549,0
P20407_YFV2003_D15_p4_L22,YFV2003,15,D298,YFV2003_D15,5136,8.544224530467268,23996.088,10.085688,128.7095,4.8652973,0.536377,23996.088,5136,0
P20407_YFV2003_D15_p4_M22,YFV2003,15,D552,YFV2003_D15,2597,7.862497197230545,14267.677,9.565822,125.933334,4.843662,0.8826478,14267.677,2597,0
P20407_YFV2003_D15_p4_J22,YFV2003,15,D951,YFV2003_D15,3183,8.065893546964274,16745.844,9.7259655,142.6656,4.9674883,0.85194635,16745.844,3183,0
P20407_YFV2003_D15_p4_N22,YFV2003,15,D594,YFV2003_D15,2809,7.940939762327791,15086.063,9.6215925,124.44079,4.831834,0.8248725,15086.063,2809,0
P20407_YFV2003_D15_p4_F22,YFV2003,15,D78,YFV2003_D15,6145,8.72355674269043,26096.826,10.169607,134.13312,4.9062605,0.5139825,26096.826,6145,0
P20407_YFV2003_D15_p4_E22,YFV2003,15,D1435,YFV2003_D15,3742,8.22764270790443,18506.984,9.825957,133.83084,4.904021,0.72313696,18506.984,3742,0
P20407_YFV2003_D15_p8_F22,YFV2003,15,D26,YFV2003_D15,6253,8.740976538017787,26301.926,10.177436,150.58073,5.021118,0.5725084,26301.926,6253,0
P20407_YFV2003_D15_p4_O22,YFV2003,15,D1473,YFV2003_D15,3906,8.27052509505507,19246.857,9.865155,141.56534,4.9598002,0.7355244,19246.857,3906,0
P20407_YFV2003_D15_p8_I22,YFV2003,15,D1635,YFV2003_D15,3322,8.108623268354595,17122.867,9.748228,123.92151,4.827686,0.72371936,17122.867,3322,0
P20407_YFV2003_D15_p4_H22,YFV2003,15,D281,YFV2003_D15,3042,8.02059914989697,15759.274,9.665248,126.78206,4.850326,0.8044917,15759.274,3042,0
P20407_YFV2003_D15_p8_G22,YFV2003,15,D50,YFV2003_D15,3153,8.056426767522984,16594.041,9.716859,130.39613,4.8782167,0.785801,16594.041,3153,0
P20407_YFV2003_D15_p4_G22,YFV2003,15,D576,YFV2003_D15,3911,8.271804031154709,19298.67,9.867844,147.79605,5.0025764,0.76583546,19298.67,3911,0
P20407_YFV2003_D15_p8_K22,YFV2003,15,D786,YFV2003_D15,3175,8.063377822367027,16479.945,9.70996,147.44139,5.0001903,0.89467156,16479.945,3175,0
P20407_YFV2003_D15_p8_M22,YFV2003,15,D166,YFV2003_D15,4985,8.514389264083503,22883.455,10.038213,138.29863,4.93662,0.60436076,22883.455,4985,0
P20407_YFV2003_D15_p4_D22,YFV2003,15,D74,YFV2003_D15,2593,7.860956364876389,14436.154,9.57756,122.08847,4.8129034,0.84571326,14436.154,2593,0
P20407_YFV2003_D15_p8_P22,YFV2003,15,D169,YFV2003_D15,5480,8.609042845046117,24570.496,10.109343,140.21272,4.9502673,0.5706548,24570.496,5480,0
P20407_YFV2003_D15_p4_K22,YFV2003,15,D682,YFV2003_D15,3917,8.273336598504486,19356.979,9.87086,148.03735,5.004197,0.7647751,19356.979,3917,0
