,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A6_D14_p3_M3,,,A116,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,2866,7.96102146588337,15699.079,9.661421,118.438034,4.782798,0.75442666,15699.079,2866,0
P20407_A6_D14_p3_K3,,,A831,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,3358,8.119398589612294,17734.014,9.783297,130.6731,4.8803225,0.7368501,17734.014,3358,0
P20407_A6_D14_p3_P3,,,A915,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,5969,8.694502206386648,26482.379,10.184273,134.52887,4.9091845,0.5079939,26482.379,5969,0
P20407_A6_D14_p3_A3,,,A61,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,4320,8.371242135931933,21134.018,9.958687,116.14718,4.763431,0.5495745,21134.018,4320,0
P20407_A6_D14_p3_E3,,,A1029,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,3112,8.043342170441608,16766.643,9.727206,113.01839,4.7363596,0.6740669,16766.643,3112,0
P20407_A6_D14_p3_D3,,,A3,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,5316,8.57866451350434,24692.506,10.114296,130.93173,4.8822846,0.5302489,24692.506,5316,0
P20407_A6_D14_p3_B3,,,A530,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,3225,8.078998258685154,17034.223,9.743038,130.97606,4.8826203,0.76889956,17034.223,3225,0
P20407_A6_D14_p3_C3,,,A676,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,6028,8.704336438489406,26558.766,10.187153,116.235985,4.764189,0.4376558,26558.766,6028,0
P20407_A6_D14_p3_L3,,,A161,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,5972,8.695004592732307,26520.352,10.185705,130.04353,4.87553,0.49035373,26520.352,5972,0
P20407_A6_D14_p3_G3,,,A63,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,2449,7.803843303538772,13866.203,9.537282,131.10175,4.8835726,0.9454769,13866.203,2449,0
P20407_A6_D14_p3_I3,,,A130,A1_06_D14,,,,,,,,,,,,,,,,,,,,,,,,4607,8.435549202375727,22355.818,10.014887,115.042145,4.7539535,0.514596,22355.818,4607,0
