,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_JH_D15_p3_K6,,,C107,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2534,7.837948916025283,14858.87,9.60642,136.26431,4.9219084,0.91705704,14858.87,2534,0
P20407_JH_D15_p3_L6,,,C350,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4599,8.433811582477187,23170.988,10.050699,149.51884,5.014088,0.6452847,23170.988,4599,0
P20407_JH_D15_p3_B6,,,C18,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3736,8.226038429485484,19854.648,9.896244,110.13563,4.7107515,0.55470955,19854.648,3736,0
P20407_JH_D15_p1_F22,,,C127,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3450,8.146419323098003,18658.037,9.834085,109.04964,4.7009315,0.58446467,18658.037,3450,0
P20407_JH_D15_p1_N22,,,C62,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3732,8.224967478914584,19629.738,9.884851,141.22018,4.9573765,0.7194196,19629.738,3732,0
P20407_JH_D15_p1_O22,,,C64,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3674,8.209308411646937,19521.646,9.879331,136.28867,4.922086,0.6981412,19521.646,3674,0
P20407_JH_D15_p1_C22,,,C295,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3274,8.094073148069352,17885.828,9.79182,144.00961,4.9768,0.8051604,17885.828,3274,0
P20407_JH_D15_p1_E22,,,C37,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,5445,8.602636673233706,25969.926,10.164733,135.67784,4.917627,0.52244216,25969.926,5445,0
P20407_JH_D15_p1_L22,,,C42,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3442,8.144098463338524,18442.941,9.822492,135.54243,4.9166355,0.73492855,18442.941,3442,0
P20407_JH_D15_p1_B22,,,C410,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4792,8.474911799159631,23658.314,10.071512,149.51358,5.0140533,0.6319705,23658.314,4792,0
P20407_JH_D15_p1_I22,,,C0,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2443,7.8013913202914855,14090.784,9.553348,151.2594,5.0255857,1.0734633,14090.784,2443,1
P20407_JH_D15_p1_J22,,,C166,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3535,8.170751423757535,18895.91,9.846754,149.70514,5.015325,0.79226214,18895.91,3535,0
P20407_JH_D15_p1_P22,,,C26,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3603,8.189799618728228,19322.697,9.869087,135.0221,4.9128175,0.6987746,19322.697,3603,0
P20407_JH_D15_p1_M22,,,C34,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3216,8.076204527239026,17603.338,9.775901,136.7183,4.9252105,0.7766613,17603.338,3216,0
P20407_JH_D15_p1_G22,,,C354,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3316,8.106816038947052,18081.043,9.802674,130.77478,4.8810945,0.7232701,18081.043,3316,0
P20407_JH_D15_p3_I12,,,C22,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3056,8.025189321890835,16950.855,9.738132,148.3694,5.0064225,0.8752915,16950.855,3056,0
P20407_JH_D15_p3_G12,,,C325,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2298,7.740229524763182,13548.314,9.5140915,122.86153,4.8191643,0.90683997,13548.314,2298,0
P20407_JH_D15_p3_H12,,,C199,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2780,7.930565854233965,15845.936,9.670732,128.30284,4.8621573,0.8096892,15845.936,2780,0
P20407_JH_D15_p3_E12,,,C203,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3240,8.083637203141548,17831.363,9.788771,128.84303,4.8663263,0.7225641,17831.363,3240,0
P20407_JH_D15_p3_C12,,,C320,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3267,8.091933455979893,17881.393,9.791572,145.30965,4.9857254,0.8126305,17881.393,3267,0
P20407_JH_D15_p3_D12,,,C77,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,4038,8.303752415563412,21006.312,9.952626,133.018,4.897974,0.6332287,21006.312,4038,0
P20407_JH_D15_p3_J12,,,C120,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3306,8.103796712981794,18117.455,9.804687,128.47952,4.8635225,0.70914775,18117.455,3306,0
P20407_JH_D15_p3_M12,,,C179,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3440,8.14351740579748,18504.88,9.825844,120.31784,4.7984138,0.6501952,18504.88,3440,0
P20407_JH_D15_p3_K12,,,C0,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2414,7.789454566086673,14381.67,9.573779,119.907364,4.795025,0.8337514,14381.67,2414,1
P20407_JH_D15_p3_L12,,,C439,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2631,7.875499292445208,14965.714,9.613584,151.69333,5.0284314,1.0136057,14965.714,2631,0
P20407_JH_D15_p3_B12,,,C19,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3935,8.277920258172143,20467.072,9.926621,155.23567,5.0513654,0.75846547,20467.072,3935,0
P20407_JH_D15_p3_F8,,,C326,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,2473,7.813591552952433,14083.102,9.552802,144.14009,4.9776993,1.0234967,14083.102,2473,0
P20407_JH_D15_p3_I8,,,C212,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3101,8.039802343736485,17103.79,9.747114,148.64616,5.0082736,0.8690832,17103.79,3101,0
P20407_JH_D15_p3_A8,,,C78,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3638,8.19946419761216,19340.742,9.870021,149.81836,5.016076,0.77462566,19340.742,3638,0
P20407_JH_D15_p3_G8,,,C99,JH_D14,,,,,,,,,,,,,,,,,,,,,,,,3416,8.136518252115291,18428.783,9.821723,139.26096,4.943505,0.7556709,18428.783,3416,0
