,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A30_D14_p5_K6,,,B1370,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3484,8.156223323194624,17993.104,9.797799,130.45453,4.878661,0.7250252,17993.104,3484,0
P20407_A30_D14_p5_L6,,,B1195,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3388,8.128290171607052,17782.475,9.786025,122.6619,4.817551,0.68979096,17782.475,3388,0
P20407_A30_D14_p5_D6,,,B225,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3732,8.224967478914584,18783.47,9.840786,131.13615,4.883833,0.6981465,18783.47,3732,0
P20407_A30_D14_p5_F6,,,B1147,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2541,7.8407064517494,14064.907,9.551509,138.14648,4.9355273,0.9822069,14064.907,2541,0
P20407_A30_D14_p4_B15,,,B416,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3065,8.028129059431759,16338.533,9.701343,122.91886,4.819627,0.75232494,16338.533,3065,0
P20407_A30_D14_p4_I15,,,B96,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3924,8.275121630216509,19560.023,9.881294,128.78366,4.865869,0.6584024,19560.023,3924,0
P20407_A30_D14_p4_D15,,,B1284,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2326,7.752335163302292,13400.152,9.503096,115.2332,4.7555985,0.8599395,13400.152,2326,0
P20407_A30_D14_p4_J15,,,B205,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3205,8.072779333169498,16600.316,9.717237,119.49025,4.7915688,0.7198071,16600.316,3205,0
P20407_A30_D14_p4_M15,,,B1563,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2827,7.947325027016463,15364.583,9.639885,113.362175,4.7393703,0.73781484,15364.583,2827,0
P20407_A30_D14_p4_H15,,,B467,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2663,7.88758403166028,14764.758,9.600066,121.40673,4.807349,0.82227373,14764.758,2663,0
