,TPM_p,UMI_p,TPM_logp,UMI_logp
SRPR,0.5992189663416023,0.9025666125140945,0.22241444890147888,0.044520735815961596
SERPINB1,0.5992916095214791,0.4199430038957791,0.22236180267066144,0.37680964953844354
ALG5,0.599400352143201,0.6353438393920401,0.22228300624555575,0.1969911768555531
TTC9C,0.5994336007890533,0.7016550823596807,0.22225891666518843,0.15387632467927886
MLLT3,0.5996254976147546,0.40082554064100906,0.22211990811536916,0.3970446129740186
ARHGEF26,0.5998359167769842,0.23402005418603813,0.22196753325631324,0.630746924431093
TUBA1A,0.5999499126527874,0.8567149463276365,0.22188500556052682,0.06716365629164238
STK11,0.6000944621517357,0.8745083805663993,0.22178038101267383,0.0582360242455645
UPRT,0.6002055635462602,0.8647840034419165,0.2216999832426521,0.06309235245109047
POLR3F,0.6006372391495773,0.45750257530415606,0.22138774530418523,0.33960645692597813
DHX8,0.6007016614365059,0.6426230256589365,0.22134116686784583,0.19204371741278592
RP11-120M18.2,0.6009494596798812,0.2434137400487378,0.22116205096746921,0.6136549106625364
ADNP,0.6010435959376257,0.7785327371610095,0.22109402585338397,0.10872312070735442
NXT2,0.6012649123245979,0.5089435588335713,0.22093413929175376,0.29333037767554165
MTRNR2L12,0.6014737367834077,0.514774743783938,0.22078333128184058,0.2883827688856391
SRFBP1,0.6014772501146957,0.4142825729356403,0.22078079448623028,0.3827033351957237
RP11-313P13.5,0.6017676571992719,0.5805699776747333,0.22057115770153352,0.23614542607808678
RP11-447L10.1,0.6020408520601079,0.7797206050418015,0.22037403827320307,0.1080609888808854
CD46,0.6020441598898955,0.742067175535906,0.2203716521090875,0.12955677848911537
CABIN1,0.6020706287427107,0.15656562743110425,0.2203525587853773,0.8053035772430437
ADD1,0.6022743109163882,0.3921802735113863,0.2202056605969586,0.4065142549329196
MAK16,0.6023387649400298,0.25860510437381357,0.2201591858784091,0.5873629072224348
C18orf25,0.6025228711839903,0.5676433350618519,0.22002646304275555,0.24592445701331034
RP11-112J3.16,0.6025449808266756,0.4988505401792741,0.22001052685161057,0.30202955317052615
IQGAP1,0.6028569019371219,0.5572326686389455,0.2197857626098806,0.2539634303067139
CSAD,0.6030257896936195,0.6332698736672621,0.21966411392598034,0.19841117202522554
ZNF143,0.6032540239372661,0.4598662184951281,0.2194997724976321,0.33736849227421
CDT1,0.6033091330610709,0.8811755531052903,0.21946010016345088,0.05493756020346384
XRCC5,0.6035320273318361,0.6736377275498504,0.2192996784673425,0.17157359786249798
METTL9,0.6035475275769436,0.8328687205043194,0.21928852481820418,0.07942344811744852
RTF1,0.603571002812698,0.8898996371390183,0.21927163307958178,0.05065897031519113
